case_id,mesh_level,element_count,vertex_count,dof_count,min_element_quality,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qtotal_W,heat_balance_residual_percent,heat_balance_status,field_singularity_flag,status
CASE_A_BASELINE,coarse,305054,152693,1422179,0.00420100000,86.5432396,73.7295079,86.5432396,58.4793951,51461675.4,13107140.5,34.3872839,1.56250000,28.0507396,64.0005235,-1.88600339,VALID_STRICT,false,SOLVED_VALID
CASE_B_HIGH_CONTACT,coarse,305054,152693,1422179,0.00420100000,107.583200,103.432811,103.516465,104.149584,51461675.4,13107140.5,53.9507596,45.0000000,28.0507396,127.001499,-2.23676556,VALID_STRICT,false,SOLVED_VALID
CASE_C_HIGHEST_PRESSURE,coarse,305054,152693,1422179,0.00420100000,134.527928,128.462900,128.586266,129.487249,51461675.4,13107140.5,77.3318794,61.2500000,28.0507396,166.632619,-2.24901136,VALID_STRICT,false,SOLVED_THERMAL_WARNING
CASE_A_BASELINE,medium,398775,199570,1830443,0.00526300000,88.5885323,74.1360087,88.5885323,58.7898495,45634515.2,13106429.4,34.4333696,1.56250000,28.0485376,64.0444072,-1.90223188,VALID_STRICT,false,SOLVED_VALID
CASE_B_HIGH_CONTACT,medium,398775,199570,1830443,0.00526300000,107.961699,103.790701,103.894359,104.522959,45634515.2,13106429.4,54.0275373,45.0000000,28.0485376,127.076075,-2.24642507,VALID_STRICT,false,SOLVED_VALID
CASE_C_HIGHEST_PRESSURE,medium,398775,199570,1830443,0.00526300000,134.974199,128.878648,129.030999,129.925482,45634515.2,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,-2.25728971,VALID_STRICT,false,SOLVED_THERMAL_WARNING
CASE_A_BASELINE,fine,402711,201600,1849711,0.00876900000,88.2753328,73.9837671,88.2753328,58.6940749,44788349.7,13106226.6,34.4174408,1.56250000,28.0480383,64.0279791,-1.89727362,VALID_STRICT,false,SOLVED_VALID
CASE_B_HIGH_CONTACT,fine,402711,201600,1849711,0.00876900000,107.876143,103.718515,103.814705,104.435398,44788349.7,13106226.6,54.0038882,45.0000000,28.0480383,127.051927,-2.24439678,VALID_STRICT,false,SOLVED_VALID
CASE_C_HIGHEST_PRESSURE,fine,402711,201600,1849711,0.00876900000,134.884465,128.808056,128.949669,129.832923,44788349.7,13106226.6,77.4168617,61.2500000,28.0480383,166.714900,-2.25581135,VALID_STRICT,false,SOLVED_THERMAL_WARNING
