case_id,study,disable_floating,disable_dielectric,disable_convection,constant_copper_loss,status,Tmax_global_C,Emax_global_V_per_m,error_message
ES_FULL,std_es,false,false,false,false,SOLVED,,50554592.4,""
ES_NO_FLOATING,std_es,true,false,false,false,SOLVED,,35995385.3,""
HT_FULL,std_ht,false,false,false,false,SOLVED,667.636130,,""
HT_NO_DIELECTRIC,std_ht,false,true,false,false,SOLVED,667.636130,,""
HT_NO_CONVECTION,std_ht,false,false,true,false,SOLVED,-981.966205,,""
HT_CONSTANT_CU,std_ht,false,false,false,true,SOLVED,439.925170,,""
HT_NO_DIELECTRIC_CONSTANT_CU,std_ht,false,true,false,true,SOLVED,439.925170,,""
CPL_FULL,std_cpl,false,false,false,false,SOLVED,673.330613,50554592.4,""
CPL_NO_FLOATING,std_cpl,true,false,false,false,SOLVED,672.804452,35995385.3,""
CPL_NO_DIELECTRIC,std_cpl,false,true,false,false,SOLVED,667.703128,50554592.4,""
CPL_NO_CONVECTION,std_cpl,false,false,true,false,SOLVED,-994.456854,50554592.4,""
CPL_CONSTANT_CU,std_cpl,false,false,false,true,SOLVED,443.782223,50554592.4,""
CPL_NO_DIELECTRIC_CONSTANT_CU,std_cpl,false,true,false,true,SOLVED,440.388080,50554592.4,""
CPL_NO_FLOATING_NO_DIELECTRIC_CONSTANT_CU,std_cpl,true,true,false,true,SOLVED,440.388080,35995385.3,""
CPL_ALL_SUSPECTS_OFF,std_cpl,true,true,true,true,FAILED,,,"The_following_feature_has_encountered_a_problem"
