case_id,run_id,Qtotal_generated_W,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,Qremoved_total_W,residual_W,residual_percent,status,notes
RUN007_CASE_001,SOLID_ONLY_SWEEP_27_RUN007,24.7167696,42.3775055,-65.5814862,48.7966324,25.5926517,-0.875882089,-3.54367542,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_002,SOLID_ONLY_SWEEP_27_RUN007,37.6171510,48.0095636,-60.1434432,50.8444522,38.7105726,-1.09342161,-2.90671031,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_003,SOLID_ONLY_SWEEP_27_RUN007,53.8350258,55.1432777,-52.7465284,53.3348912,55.7316405,-1.89661466,-3.52301245,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_004,SOLID_ONLY_SWEEP_27_RUN007,25.0351249,48.8147606,-79.7074843,57.7039290,26.8112053,-1.77608041,-7.09435413,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_005,SOLID_ONLY_SWEEP_27_RUN007,38.1154892,54.4974833,-75.0473736,59.9057206,39.3558303,-1.24034105,-3.25416537,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_006,SOLID_ONLY_SWEEP_27_RUN007,54.5637324,61.7167057,-67.3976873,62.4005365,56.7195549,-2.15582252,-3.95101733,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_007,SOLID_ONLY_SWEEP_27_RUN007,25.3520503,55.2415629,-94.5870733,66.7121415,27.3666311,-2.01458082,-7.94642166,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_008,SOLID_ONLY_SWEEP_27_RUN007,38.6141486,60.9879653,-89.9875367,68.9738122,39.9742407,-1.36009208,-3.52226355,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_009,SOLID_ONLY_SWEEP_27_RUN007,55.2834438,68.2671958,-83.0667186,71.6353950,56.8358722,-1.55242846,-2.80812546,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_010,SOLID_ONLY_SWEEP_27_RUN007,28.8335806,44.9788096,-64.4143844,49.3034800,29.8679052,-1.03432459,-3.58722216,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_011,SOLID_ONLY_SWEEP_27_RUN007,44.1570556,52.1342931,-58.3306122,51.6591612,45.4628422,-1.30578660,-2.95714146,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_012,SOLID_ONLY_SWEEP_27_RUN007,63.4489906,61.1934594,-50.0647181,54.5282568,65.6569981,-2.20800745,-3.47997253,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_013,SOLID_ONLY_SWEEP_27_RUN007,29.1519339,51.4155923,-78.5349661,58.2065253,31.0871515,-1.93521760,-6.63838496,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_014,SOLID_ONLY_SWEEP_27_RUN007,44.6554694,58.6222625,-73.2267666,60.7181115,46.1136074,-1.45813801,-3.26530664,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_015,SOLID_ONLY_SWEEP_27_RUN007,64.1780360,67.7675210,-64.7207468,63.5921239,66.6388981,-2.46086209,-3.83443035,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_016,SOLID_ONLY_SWEEP_27_RUN007,29.4687301,57.8414078,-93.4178608,67.2157626,31.6393096,-2.17057944,-7.36570403,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_017,SOLID_ONLY_SWEEP_27_RUN007,45.1584411,65.1264201,-87.1084720,69.6281928,47.6461408,-2.48769972,-5.50882549,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_018,SOLID_ONLY_SWEEP_27_RUN007,64.9060327,74.3394975,-79.3540012,72.6624380,67.6479344,-2.74190170,-4.22441734,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_019,SOLID_ONLY_SWEEP_27_RUN007,44.2747682,54.7531468,-59.3169604,51.0832163,46.5194027,-2.24463453,-5.06978268,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_020,SOLID_ONLY_SWEEP_27_RUN007,68.6895934,67.6327941,-50.8242133,54.5658496,71.3744304,-2.68483702,-3.90865179,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_021,SOLID_ONLY_SWEEP_27_RUN007,99.5002219,83.8777541,-39.9814200,59.0101075,102.906442,-3.40621973,-3.42332878,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_022,SOLID_ONLY_SWEEP_27_RUN007,44.5906061,61.1728681,-74.1772452,60.0975756,47.0931984,-2.50259236,-5.61237575,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_023,SOLID_ONLY_SWEEP_27_RUN007,69.1879545,74.1174680,-65.5452178,63.6012718,72.1735221,-2.98556759,-4.31515516,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_024,SOLID_ONLY_SWEEP_27_RUN007,100.230731,90.4532960,-54.7097906,68.0696323,103.813138,-3.58240706,-3.57416038,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_025,SOLID_ONLY_SWEEP_27_RUN007,44.9068688,67.5950862,-89.0532084,69.1092710,47.6511488,-2.74428003,-6.11104739,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_026,SOLID_ONLY_SWEEP_27_RUN007,69.6860746,80.6020650,-80.2695587,72.6423971,72.9749034,-3.28882882,-4.71949215,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
RUN007_CASE_027,SOLID_ONLY_SWEEP_27_RUN007,100.959935,97.0272439,-69.3762618,77.1332333,104.784215,-3.82428027,-3.78791871,SOLVED_VALID,"heat flux exported with 2*pi*r axisymmetric weighting; negative oil term means heat entering from hot oil"
