name,r_min_mm,r_max_mm,z_min_mm,z_max_mm
oil_side_domain,66,360,-595,0
air_side_domain,135,360,0,1650
conductor,0,20,-595,1650
rip_capacitor_core,20,66,-595,1150
silicone_rubber_body,66,82,0,1150
silicone_rubber_envelope,82,135,0,1150
shed_00,82,135,60,78
shed_01,82,135,160,178
shed_02,82,135,260,278
shed_03,82,135,360,378
shed_04,82,135,460,478
shed_05,82,135,560,578
shed_06,82,135,660,678
shed_07,82,135,760,778
shed_08,82,135,860,878
shed_09,82,135,960,978
shed_10,82,135,1060,1078
flange_disk,66,200,-15.0,15.0
flange_collar_L4,66,100,-100.0,100.0
contact_heat_source_layer,0,20,-15.0,15.0
