stage,purpose,model_type,case_count,key_outputs,validation_status,can_be_used_in_manuscript,main_or_supplementary,notes
RUN001_INVALID_OR_EARLY_BASELINE,Early baseline/geometry-only attempt,early COMSOL baseline,1,results/raw_comsol_exports/STEADY_1250_LOAD_1p0/metrics_export.csv,historical/diagnostic; not accepted as main result,no,supplementary/model audit,Retained for audit trail only
RUN002_INVALID_OR_EARLY_BASELINE,CAD-driven early baseline with invalid thermal behavior,early electro-thermal baseline,1,results/raw_comsol_exports/STEADY_1250_LOAD_1p0_RUN002/baseline_metrics.csv,SOLVED; Tmax=211.226 degC; invalid temperature history,no,supplementary/model audit,Historical diagnostic result; not manuscript main result
RUN003_PHYSICS_DIAGNOSTICS,Physics feature diagnostics,diagnostic toggles,15,results/raw_comsol_exports/PHYSICS_DIAGNOSTICS_RUN003/diagnostic_results.csv,diagnostic only,no,supplementary/model audit,Used to localize abnormal heat sources and boundary issues
RUN006_SOURCE_FIXED_BASELINE,Source-fixed solid-only baseline,solid-only thermal diagnostic,1,results/raw_comsol_exports/SOLID_ONLY_RUN006_SOURCE_FIXED/solid_only_metrics.csv,SOLVED_VALID; Qjoule=34.008 W; Qcontact=1.5625 W,diagnostic support,supplementary/model audit,Validates source normalization before sweeps
RUN007_SOLID_ONLY_27_SWEEP,Small solid-only sweep,solid-only thermal diagnostic,27,results/raw_comsol_exports/SOLID_ONLY_SWEEP_27_RUN007/sweep_validity_summary.csv,27/27 valid,diagnostic support,supplementary/model audit,Pre-check before 125-case risk matrix
RUN008_SOLID_ONLY_125_RISK,125-case solid-only approximate risk scan,solid-only approximate_Qdielectric_ref,125,results/raw_comsol_exports/SOLID_ONLY_RISK_125_RUN008/risk_metrics.csv,initial validity=116/125; superseded by RUN008B/RUN010,diagnostic support,supplementary/model audit,Not final full electro-thermal result
RUN008B_HEAT_BALANCE_RECHECK,RUN008 heat-balance reclassification,postprocess validation,125,results/raw_comsol_exports/SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX/risk_validity_summary_reclassified.csv,125/125 reclassified valid,diagnostic support,supplementary/model audit,Explains low-power normalization issue
RUN009A_FULL_FIELD_BASELINE,Baseline full field-coupled dielectric loss,full electro-thermal/electrostatics,1,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE/baseline_metrics.csv,SOLVED_VALID; Qd field/ref=11.020,yes,main text/supporting,Baseline field/temperature figure source
RUN009B_FULL_FIELD_27_CHECK,27-case full field check,full electro-thermal/electrostatics,27,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE/run009b_validity_summary.csv,27/27 valid,yes,supplementary/validation,Stability check before RUN010
RUN010_FULL_FIELD_125_RISK,Main 125-case full field-coupled risk boundary,full electro-thermal/electrostatics,125,results/raw_comsol_exports/FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010/run010_risk_metrics.csv,125/125 valid; field_singularity=0,yes,main text,Primary risk-boundary data; diagnostic risk zoning is not a standard limit
RUN011A_MESH_INDEPENDENCE,Mesh independence verification,numerical reliability check,9,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011A_MESH_INDEPENDENCE/mesh_convergence_summary.csv,medium-vs-fine 3/3 pass,yes,main text/validation,Numerical credibility verification for RUN010 default mesh
RUN011B_MATERIAL_BOUNDARY_SENSITIVITY,Material and boundary sensitivity,parameter robustness check,38,results/raw_comsol_exports/MATERIAL_AND_MESH_SENSITIVITY_RUN011/RUN011B_MATERIAL_BOUNDARY_SENSITIVITY/sensitivity_index_summary.csv,heat valid=38/38; singular=0,yes,main text/supplementary,Sensitivity ranking and robustness check
RUN012_MANUSCRIPT_FIGURES,Manuscript-ready figure and draft organization,postprocess/indexing,16,results/paper_figures/manuscript_ready,figures and draft sections generated,yes,manuscript preparation,RUN012B completes auditable table indices
